131072,0.157422,150.14
262144,0.173995,165.95
524288,0.195210,186.18
1,0.001834,1.75
2,0.001775,1.69
4,0.001859,1.77
8,0.001783,1.70
16,0.001775,1.69
32,0.002205,2.10
64,0.015271,14.56
128,0.012631,12.05
256,0.012059,11.50
512,0.012096,11.54
1024,0.036597,34.90
2048,0.051106,48.74
4096,0.064700,61.71
8192,0.075728,72.23
16384,0.137607,131.24
32768,0.114177,108.90
65536,0.133246,127.08
131072,0.144987,138.28
262144,0.176295,168.14
524288,0.198386,189.21
1,0.001833,1.75
2,0.001772,1.69
4,0.001772,1.69
8,0.002351,2.24
16,0.001780,1.70
32,0.002155,2.06
64,0.007854,7.49
128,0.016682,15.91
256,0.019501,18.60
512,0.040766,38.88
1024,0.040089,38.23
2048,0.051169,48.80
4096,0.069138,65.94
8192,0.066347,63.28
16384,0.141587,135.04
32768,0.137081,130.74
65536,0.143895,137.24
131072,0.171938,163.98
262144,0.173295,165.28
524288,0.197176,188.06
1,0.001861,1.77
2,0.001771,1.69
4,0.001770,1.69
8,0.002045,1.95
16,0.002051,1.96
32,0.003713,3.54
64,0.018884,18.01
128,0.018974,18.10
256,0.026134,24.93
512,0.031921,30.44
1024,0.025286,24.12
2048,0.062846,59.94
4096,0.154614,147.46
8192,0.086706,82.70
16384,0.141343,134.80
32768,0.145736,138.99
65536,0.139543,133.09
131072,0.148621,141.75
262144,0.170153,162.28
524288,0.171838,163.89
1,0.001772,1.69
2,0.001766,1.68
4,0.001769,1.69
8,0.001780,1.70
16,0.001890,1.80
32,0.002493,2.38
64,0.014931,14.24
128,0.025534,24.35
256,0.016737,15.96
512,0.032964,31.44
1024,0.048153,45.93
2048,0.065343,62.32
4096,0.045196,43.11
8192,0.070446,67.19
16384,0.128701,122.75
32768,0.133406,127.24
65536,0.139728,133.26
131072,0.142488,135.90
262144,0.142812,136.21
524288,0.170932,163.03
1,0.001936,1.85
2,0.001897,1.81
4,0.001800,1.72
8,0.002294,2.19
16,0.002751,2.62
32,0.003620,3.45
64,0.018795,17.93
128,0.014653,13.98
256,0.019571,18.67
512,0.015247,14.54
1024,0.022176,21.15
2048,0.044742,42.67
4096,0.043942,41.91
8192,0.125828,120.01
16384,0.143856,137.20
32768,0.138108,131.72
65536,0.150539,143.58
131072,0.146691,139.91
262144,0.173530,165.50
524288,0.191482,182.62
1,0.001810,1.73
2,0.001860,1.77
4,0.001767,1.69
8,0.001810,1.73
16,0.002043,1.95
32,0.003459,3.30
64,0.017925,17.10
128,0.019287,18.39
256,0.016523,15.76
512,0.015593,14.87
1024,0.048085,45.86
2048,0.047909,45.69
4096,0.043452,41.44
8192,0.097988,93.46
16384,0.134378,128.16
32768,0.144500,137.82
65536,0.138037,131.65
131072,0.144654,137.96
262144,0.176962,168.78
524288,0.210632,200.89
1,0.001917,1.83
2,0.001834,1.75
4,0.001810,1.73
8,0.002282,2.18
16,0.003466,3.31
32,0.003050,2.91
64,0.022757,21.70
